Index,Company Name,Revenue,Net Income,Net Margin,Cash Flow
AAPL,Apple Inc,94836,24160,25.48 %,5155
SONY,Sony Group Corporation,81604.37,6672.86,8.18 %,2460.41
PKX,Posco Holdings Inc,79053.36,3334.94,4.22 %,0
TSM,Taiwan Semiconductor Manufacturing Company Limited,73670.4,32323.3,43.88 %,23798.5
LPL,Lg Display Co Ltd,24321.16,2971.89,12.22 %,3922.83
STM,Stmicroelectronics N v,16128,3966,24.59 %,33
INTC,Intel Corporation,14042,-661,-,-2475
NTES,Netease Inc,13990.58,2877.01,20.56 %,817.17
DOW,Dow Inc,11851,-73,-,-510
QCOM,Qualcomm Inc,9275,1704,18.37 %,-1291
AVGO,Broadcom Inc,8733,3481,39.86 %,-1094
JBL,Jabil Inc,8134,207,2.54 %,-17
MMM,3m Company,8031,981,12.22 %,169
FLEX,Flex Ltd,7459,363,4.87 %,729
AMAT,Applied Materials Inc,6630,1575,23.76 %,1042
LEA,Lear Corp,5845.5,163.4,2.8 %,12.7
AMD,Advanced Micro Devices Inc,5048,-139,-,-1010
TXN,Texas Instruments Incorporated,4379,1708,39 %,1427
TEL,Te Connectivity ltd,4160,433,10.41 %,112
MU,Micron Technology Inc,3693,-2312,-,116
ADI,Analog Devices Inc,3262.93,977.66,29.96 %,-492.85
GLW,Corning Inc,3178,191,6.01 %,-525
NXPI,Nxp Semiconductors N v,3121,623,19.96 %,85
DD,Dupont De Nemours Inc,3018,265,8.78 %,-136
APH,Amphenol Corporation,2974,442.7,14.89 %,18
WDC,Western Digital Corporation,2803,-572,-,349
GRAYB,Graybar Electric Company Inc,2672.6,125,4.68 %,103.6
MOMO,Hello Group Inc,2287.25,-459.11,-,357.93
MCHP,Microchip Technology Incorporated,2232.7,604,27.05 %,-83.4
SANM,Sanmina Corporation,2231.71,48.99,2.2 %,36.55
DOV,Dover Corp,2079.02,514.86,24.76 %,-108.44
ON,On Semiconductor Corporation,1959.7,462.2,23.59 %,-216.4
STX,Seagate Technology Holdings Plc,1860,-433,-,-4
AMKR,Amkor Technology Inc,1471.54,45.22,3.07 %,-49.11
RRD,Rr Donnelley and Sons Co,1377.2,-13.4,-,29.3
SEE,Sealed Air Corp,1348.8,61.9,4.59 %,-153
MRVL,Marvell Technology Inc,1321.7,63.4,4.8 %,117.3
SWKS,Skyworks Solutions Inc,1153.1,232.8,20.19 %,12.7
PLXS,Plexus Corp,1070.82,40.84,3.81 %,-27.56
PNR,Pentair Plc,1028.6,129.7,12.61 %,10.3
AKAM,Akamai Technologies Inc,915.7,97.11,10.6 %,-241.38
MTCH,Match Group Inc,787.12,120.93,15.36 %,-6.85
MXIM,Maxim Integrated Products Inc,719.86,253.74,35.25 %,250.68
APP,Applovin Corporation,715.41,-4.52,-,165.41
GEN,Gen Digital Inc,715.35,1210.93,169.28 %,-62
BHE,Benchmark Electronics Inc,694.7,12.36,1.78 %,68.58
FN,Fabrinet,665.28,59.36,8.92 %,-19.85
NVMI,Nova Ltd,570.73,140.21,24.57 %,-14.98
TTMI,Ttm Technologies Inc,544.44,-5.81,-,14.7
PTC,Ptc Inc,542.18,63.5,11.71 %,48.31
KE,Kimball Electronics Inc,484.7,16.4,3.38 %,5.44
MATW,Matthews International Corp,479.58,9.13,1.9 %,-3.2
TDC,Teradata Corporation,476,40,8.4 %,-16
DIOD,Diodes Inc,467.24,71.98,15.4 %,-15.19
MPWR,Monolithic Power Systems Inc,451.07,109.8,24.34 %,200.37
NTNX,Nutanix Inc,448.58,-70.97,-,33.06
SGH,Smart Global Holdings Inc,429.17,-26.79,-,49.26
ZS,Zscaler Inc,418.8,-46.05,-,18.29
CRUS,Cirrus Logic Inc,372.82,-53.67,-,11.24
LITE,Lumentum Holdings Inc,364.7,9.4,2.58 %,-42.9
SYNA,Synaptics Incorporated,326.6,10.4,3.18 %,79.2
